study_id,version,data_new_shared,data_new_denom,data_reuse_shared,data_reuse_denom,code_new_shared,code_new_denom,software_reuse_shared,software_reuse_denom,materials_new_shared,materials_new_denom,materials_reuse_shared,materials_reuse_denom,protocol_shared,protocol_denom
48,first_version,0,8,2,3,1,4,29,36,0,0,11,16,12,13
48,published,7,7,3,3,2,2,35,36,0,0,15,16,12,12
49,first_version,0,4,0,0,0,2,0,6,0,0,1,5,0,11
49,published,4,4,0,0,0,2,0,6,0,0,3,4,2,11
50,first_version,0,3,0,0,0,0,0,3,0,0,0,34,2,6
50,published,3,3,0,0,0,0,3,3,1,1,35,35,7,7
51,first_version,0,7,0,0,0,0,0,5,0,6,9,19,0,10
51,published,7,7,0,0,0,0,5,5,13,13,17,23,10,12
52,first_version,0,6,0,2,0,3,1,9,0,0,7,26,4,8
52,published,3,3,2,2,1,1,11,11,6,7,25,37,8,8
53,first_version,0,2,0,0,0,0,0,5,0,12,1,33,0,6
53,published,3,3,0,0,0,0,4,4,16,16,33,33,6,6
54,first_version,0,3,0,0,0,0,0,1,0,16,1,25,0,7
54,published,4,4,0,0,1,1,6,6,27,27,45,45,9,9
55,first_version,0,6,0,2,0,3,0,5,0,0,0,5,2,15
55,published,9,9,2,2,2,2,9,9,0,0,9,9,12,12
56,first_version,0,2,0,0,0,0,2,4,0,3,13,45,5,10
56,published,2,2,0,0,1,1,4,4,2,2,56,56,9,9
57,first_version,2,2,0,0,1,2,3,3,0,0,0,0,3,4
57,published,2,2,0,0,4,4,4,4,0,0,0,0,3,3
58,first_version,0,2,0,0,0,1,0,2,0,0,0,0,0,2
58,published,2,2,0,0,1,1,2,3,0,0,1,1,2,2
59,first_version,1,2,0,0,1,1,2,5,0,0,2,7,4,9
59,published,2,2,0,0,1,1,5,5,0,0,7,7,9,9
60,first_version,0,7,0,1,0,1,0,16,0,2,0,13,5,19
60,published,7,7,0,1,0,2,7,20,2,2,45,48,11,19
61,first_version,0,9,0,0,0,1,0,5,0,0,4,12,1,9
61,published,6,11,0,0,0,0,1,7,0,0,26,35,6,7
62,first_version,0,7,0,0,0,0,0,3,0,2,0,10,0,9
62,published,7,7,0,0,0,0,4,4,0,0,10,10,8,8
63,first_version,0,5,0,0,0,0,0,2,0,0,0,12,7,7
63,published,4,4,0,0,0,0,2,2,0,0,12,12,7,7
64,first_version,0,3,0,0,0,3,11,13,0,0,19,19,0,5
64,published,0,3,0,0,0,3,10,13,0,0,19,19,5,5
64,published,0,3,0,0,0,0,10,14,0,0,19,19,5,5
65,first_version,0,2,0,0,0,0,0,7,0,0,2,5,3,5
65,published,0,2,0,0,0,1,7,7,0,0,9,9,6,6
66,first_version,0,0,0,0,0,0,2,3,0,0,0,2,0,0
66,published,0,0,0,0,0,0,3,3,0,0,2,2,0,0
67,first_version,1,3,1,3,0,2,0,23,0,0,2,4,2,3
67,published,3,3,4,4,2,2,19,22,0,0,4,4,3,3
68,first_version,7,15,0,0,0,0,5,5,0,2,11,14,3,13
68,published,11,11,0,0,0,0,6,6,5,5,17,17,9,9
69,first_version,0,6,0,0,0,0,2,3,0,0,2,4,0,3
69,published,6,6,0,0,0,0,3,3,0,0,2,4,3,3
70,first_version,0,6,0,1,0,2,11,14,0,0,17,22,7,10
70,published,7,7,0,0,0,4,14,15,0,0,25,25,8,9
71,first_version,1,16,4,9,0,4,4,20,0,0,0,18,0,16
71,published,13,14,4,10,0,2,3,22,0,0,22,22,7,10
72,first_version,0,11,1,1,0,1,0,20,0,0,0,11,4,17
72,published,11,11,2,2,1,1,20,21,0,0,19,19,15,15
73,first_version,0,1,0,0,0,0,1,1,0,0,5,5,0,2
73,published,0,1,0,0,0,0,1,1,0,0,5,5,0,2
74,first_version,0,6,6,6,0,2,4,21,0,0,0,0,0,2
74,published,5,5,6,6,2,2,34,35,0,0,0,0,2,2
75,first_version,10,12,3,4,0,0,18,18,0,0,21,24,15,15
75,published,14,14,4,5,0,0,18,18,0,0,24,24,15,15
76,first_version,0,1,0,0,0,0,1,1,0,0,5,5,0,2
76,published,5,8,0,0,0,0,3,4,0,0,0,0,4,5
77,first_version,0,12,1,1,0,1,0,6,0,14,0,2,6,6
77,published,12,12,0,0,1,1,6,6,0,0,20,21,6,6
78,first_version,1,2,1,3,0,2,0,18,0,1,0,14,0,15
78,published,7,7,6,9,2,2,17,20,0,0,15,22,5,8
79,first_version,0,7,0,0,0,0,0,5,0,0,0,17,2,10
79,published,8,8,0,0,0,0,6,7,6,6,19,19,12,12
80,first_version,0,5,0,0,0,4,0,10,0,0,0,4,0,8
80,published,5,5,0,0,1,1,8,10,0,0,14,14,9,9
