doi,date_preprint,date_journal_submission,date_publication,span_submission_preprint,span_publication_preprint
10.1186/s13024-024-00756-2,2023-12-11,2023-12-15,2024-10-08,4,302
10.1111/acel.14077,2023-07-21,2023-08-03,2024-02-01,13,195
10.1126/sciadv.adu5787,2024-03-27,2024-11-12,2025-01-22,230,301
10.1038/s41593-025-01906-5,2024-02-21,2024-07-08,2025-03-13,138,386
10.1016/j.stem.2023.12.009,2024-01-23,2022-12-16,2024-02-01,-403,9
10.1016/j.bbamcr.2023.119652,2023-06-01,2023-06-13,2024-02-01,12,245
10.1186/s40478-024-01761-8,2023-12-19,2023-12-19,2024-05-03,0,136
10.3390/ijms25073643,2024-02-13,2024-02-22,2024-03-25,9,41
10.1038/s41467-024-55607-x,2023-03-30,2023-04-11,2025-01-27,12,669
10.1073/pnas.2412029122,2024-06-11,2025-07-02,2025-01-28,386,231
10.1016/j.crmeth.2024.100861,2024-04-04,2023-07-12,2024-09-16,-267,165
10.1172/jci183592,2024-05-19,2024-07-01,2024-12-28,43,223
10.1083/jcb.202311189,2023-12-18,2023-12-05,2024-09-27,-13,284
10.1038/s41592-024-02517-x,2024-08-04,2024-03-01,2024-11-28,-156,116
10.1073/pnas.2314604121,2023-08-24,2023-08-24,2024-05-15,0,265
10.1016/j.bbi.2024.02.007,2023-08-13,2023-08-12,2024-02-08,-1,179
10.1073/pnas.2311885121,2022-06-20,2023-07-12,2024-01-10,387,569
10.1016/j.celrep.2024.114495,2023-12-08,2023-11-17,2024-08-27,-21,263
10.1126/sciadv.adp6301,2023-08-24,2024-04-03,2024-11-20,223,454
10.1038/s41531-024-00667-5,2024-02-18,2023-06-11,2024-03-13,-252,24
10.1038/s41594-024-01268-9,2024-01-28,2023-11-05,2024-04-10,-84,73
10.1016/j.crmeth.2024.100831,2024-02-24,2024-05-09,2024-08-06,75,164
10.1038/s41531-025-00904-5,2024-08-09,2024-10-08,2025-04-23,60,257
10.1038/s41598-024-82139-7,2024-02-01,2024-04-28,2025-02-01,87,366
10.1038/s41556-025-01653-6,2024-06-08,2024-05-24,2025-04-10,-15,306
10.1371/journal.pbio.3002483,2023-03-15,2023-03-17,2024-01-31,2,322
